year,province,category,value,,
2015,Riau,mc,0.003545498,,
2015,Riau,poor,0.002085678,,
2015,Riau,uc,0.00011041,,
2015,Riau,vulnerable,0.005919719,,
2015,Sulawesi Barat,amc,0.002449967,,
2015,Sulawesi Barat,mc,0.000693924,,
2015,Sulawesi Barat,poor,0.000630139,,
2015,Sulawesi Barat,uc,1.4692179682119712e-05,,
2015,Sulawesi Barat,vulnerable,0.001295691,,
2015,Sulawesi Selatan,amc,0.015083736341554738,,
2015,Sulawesi Selatan,mc,0.007565124,,
2015,Sulawesi Selatan,poor,0.003131717,,
2015,Sulawesi Selatan,uc,0.000307639,,
2015,Sulawesi Selatan,vulnerable,0.007284261,,
2015,Sulawesi Tengah,amc,0.005006893,,
2015,Sulawesi Tengah,mc,0.00143583,,
2015,Sulawesi Tengah,poor,0.001655547,,
2015,Sulawesi Tengah,uc,4.5621170161513334e-05,,
2015,Sulawesi Tengah,vulnerable,0.00314698,,
2015,Sulawesi Tenggara,amc,0.004508388,,
2015,Sulawesi Tenggara,mc,0.001773015,,
2015,Sulawesi Tenggara,poor,0.001263807,,
2015,Sulawesi Tenggara,uc,4.671168790371558e-05,,
2015,Sulawesi Tenggara,vulnerable,0.002209622,,
2015,Sulawesi Utara,amc,0.004556623,,
2015,Sulawesi Utara,mc,0.002023688,,
2015,Sulawesi Utara,poor,0.000819019,,
2015,Sulawesi Utara,uc,5.1816540361013645e-05,,
2015,Sulawesi Utara,vulnerable,0.002023585,,
2015,Sumatera Barat,amc,0.010351221976738219,,
2015,Sumatera Barat,mc,0.002552668,,
2015,Sumatera Barat,poor,0.001490461,,
2015,Sumatera Barat,uc,4.3821150605935234e-05,,
2015,Sumatera Barat,vulnerable,0.005951614,,
2015,Sumatera Selatan,amc,0.014847144091770407,,
2015,Sumatera Selatan,mc,0.004108372,,
2015,Sumatera Selatan,poor,0.004496844,,
2015,Sumatera Selatan,uc,4.4230635145952226e-05,,
2015,Sumatera Selatan,vulnerable,0.008066319,,
2015,Sumatera Utara,amc,0.029336953662742804,,
2015,Sumatera Utara,mc,0.00562049,,
