year,province,category,value
2015.0,Sumatera Selatan,mc,0.1301645409781281
2015.0,Sumatera Selatan,poor,0.14247241516088385
2015.0,Sumatera Selatan,uc,0.0014013484681137654
2015.0,Sumatera Selatan,vulnerable,0.2555632360397337
2015.0,Sumatera Utara,amc,0.5376084315894525
2015.0,Sumatera Utara,mc,0.10299715692789671
2015.0,Sumatera Utara,poor,0.10529913237480665
2015.0,Sumatera Utara,uc,0.0021301307339080923
2015.0,Sumatera Utara,vulnerable,0.25196514837393613
2016.0,Aceh,amc,0.4375031752363396
2016.0,Aceh,mc,0.08463779158004023
2016.0,Aceh,poor,0.16726284683019527
2016.0,Aceh,uc,0.0006068178876996466
2016.0,Aceh,vulnerable,0.3099893684657254
2016.0,Bali,amc,0.4806317126487449
2016.0,Bali,mc,0.307684717841693
2016.0,Bali,poor,0.04254336684246172
2016.0,Bali,uc,0.0030184869344948044
2016.0,Bali,vulnerable,0.1661217157326056
2016.0,Banten,amc,0.5016671427067709
2016.0,Banten,mc,0.23427932426492437
2016.0,Banten,poor,0.05420693018530345
2016.0,Banten,uc,0.005839068534130013
2016.0,Banten,vulnerable,0.20400753430887117
2016.0,Bengkulu,amc,0.416579171943769
2016.0,Bengkulu,mc,0.12207203431656975
2016.0,Bengkulu,poor,0.17319784171172484
2016.0,Bengkulu,uc,0.0008731182067373681
2016.0,Bengkulu,vulnerable,0.28727783382119904
2016.0,DI Yogyakarta,amc,0.3622776875410003
2016.0,DI Yogyakarta,mc,0.2800385238266469
2016.0,DI Yogyakarta,poor,0.13339061410797032
2016.0,DI Yogyakarta,uc,0.006025446636930787
2016.0,DI Yogyakarta,vulnerable,0.21826772788745163
2016.0,DKI Jakarta,amc,0.41229625572781886
2016.0,DKI Jakarta,mc,0.3521351029367059
2016.0,DKI Jakarta,poor,0.03748322438927934
2016.0,DKI Jakarta,uc,0.015447164593429392
2016.0,DKI Jakarta,vulnerable,0.18263825235276646
2016.0,Gorontalo,amc,0.3693394279332935
2016.0,Gorontalo,mc,0.2239119675176163
2016.0,Gorontalo,poor,0.17724441938266394
2016.0,Gorontalo,uc,0.004508219029282384
2016.0,Gorontalo,vulnerable,0.22499596613714404
2016.0,Jambi,amc,0.5440547578359699
2016.0,Jambi,mc,0.14481260396276976
2016.0,Jambi,poor,0.08413179598068192
2016.0,Jambi,uc,0.0011266352873197324
2016.0,Jambi,vulnerable,0.22587420693325858
2016.0,Jawa Barat,amc,0.3895579723092653
2016.0,Jawa Barat,mc,0.2829682694636714
2016.0,Jawa Barat,poor,0.08947725553137933
2016.0,Jawa Barat,uc,0.010564885971564426
